"UPA","Lat","Lon"
"UPA 24H CAMPOS DOS GOYTACAZES",-21.7386688,-41.3293217
"UPA 24H DUQUE DE CAXIAS I",-22.7861347,-43.3245107
"UPA 24H DUQUE DE CAXIAS II",-22.7508135,-43.3034012
"UPA 24H ITABORAÍ",-22.768862,-42.922205
"UPA 24H MAGÉ",-22.5990298,-43.1730085
"UPA 24H MESQUITA",-22.7945101,-43.4284229
"UPA 24H NITERÓI",-22.8831748,-43.0831942
"UPA 24H NOVA IGUAÇU II",-22.7083202,-43.4602095
"UPA 24H NOVA IGUAÇU I",-22.715065,-43.527407
"UPA 24H QUEIMADOS",-22.761588,-43.465886
"UPA 24H BANGU ",-22.871653,-43.4509126
"UPA 24H BOTAFOGO",-22.9493595,-43.1854248
"UPA 24H CAMPO GRANDE I",-22.8860338,-43.5580424
"UPA 24H MARÉ",-22.9199108,-43.1764764
"UPA 24H COPACABANA",-22.9702827,-43.1837012
"UPA 24H ENGENHO NOVO",-22.9008052,-43.2668733
"UPA 24H ILHA DO GOVERNADOR",-22.8046489972751,-43.1801800140167
"UPA 24H IRAJÁ",-22.8455598,-43.324051
"UPA 24H MARECHAL HERMES",-22.8595,-43.375258
"UPA 24H PENHA",-22.8316343,-43.2932393
"UPA 24H REALENGO",-22.8744036,-43.4292853
"UPA 24H RICARDO DE ALBUQUERQUE",-22.8364696,-43.3977812
"UPA 24H SANTA CRUZ",-22.9226216,-43.6476704
"UPA 24H CAMPO GRANDE II",-22.8698107,-43.5545915
"UPA 24H JACAREPAGUÁ",-22.91529431,-43.36151361
"UPA 24H TIJUCA",-22.9238925,-43.2330121
"UPA 24H SÃO GONÇALO I",-22.807675,-42.986543
"UPA 24H SÃO GONÇALO II",-22.826484,-42.123647
"UPA 24H SÃO PEDRO DA ALDEIA",-22.8065778,-42.9798356
"UPA Rocinha",-22.9911137,-43.2529678
"UPA Alemão",-22.989067,-43.268332
"UPA Manguinhos",-22.864803,-43.268332
"UPA Engenho de Dentro",-22.90339,-43.300568
"UPA Madureira",-22.882001,-43.344704
"UPA Costa Barros",-22.821551,-43.368833
"UPA Rocha Miranda",-22.851128,-43.346599
"UPA Cidade de Deus",-22.9471,-43.359692
"UPA Vila Kennedy",-22.854757,-43.492417
"UPA Senador Camará",-22.882239,-43.483278
"UPA Magalhães Bastos",-22.892269,-43.417478
"UPA Sepetiba",-22.974515,-43.693848
"UPA Santa Cruz",-22.933156,-43.661056
"UPA Paciência",-22.926941,-43.63519
